Date,rate_AVGO,rate_AVGO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,0.57,0.0,0.0
2022-01-05,-1.53,0.0,0.0
2022-01-06,-1.97,0.0,0.0
2022-01-07,-3.32,-1.25,0.0
2022-01-10,-3.16,-1.8820000000000001,0.0
2022-01-11,-3.06,-2.6079999999999997,0.0
2022-01-12,-3.07,-2.9159999999999995,0.0
2022-01-13,-5.93,-3.7079999999999997,0.0
2022-01-14,-6.02,-4.247999999999999,0.0
2022-01-18,-8.17,-5.25,0.0
2022-01-19,-9.76,-6.590000000000001,0.0
2022-01-20,-11.63,-8.302,0.0
2022-01-21,-13.31,-9.778,0.0
2022-01-24,-12.34,-11.041999999999998,0.0
2022-01-25,-13.37,-12.081999999999999,0.0
2022-01-26,-10.19,-12.168,0.0
2022-01-27,-12.24,-12.29,0.0
2022-01-28,-9.78,-11.584,0.0
2022-01-31,-6.21,-10.357999999999999,-2.8954999999999997
2022-02-01,-5.03,-8.69,-3.035
2022-02-02,-3.49,-7.35,-3.1325
2022-02-03,-6.74,-6.25,-3.284
2022-02-04,-5.4,-5.374,-3.4120000000000004
2022-02-07,-5.77,-5.286,-3.5454999999999997
2022-02-08,-3.85,-5.05,-3.6395000000000004
2022-02-09,-2.16,-4.784,-3.6985000000000006
2022-02-10,-5.2,-4.476,-3.8505000000000003
2022-02-11,-7.92,-4.9799999999999995,-4.0409999999999995
2022-02-14,-7.14,-5.254,-4.247
2022-02-15,-3.37,-5.1579999999999995,-4.316
2022-02-16,-4.23,-5.572,-4.3425
2022-02-17,-7.07,-5.946,-4.427
2022-02-18,-6.92,-5.7459999999999996,-4.4704999999999995
2022-02-22,-7.31,-5.779999999999999,-4.5775
2022-02-23,-9.23,-6.952000000000001,-4.714
2022-02-24,-6.92,-7.489999999999999,-4.775
2022-02-25,-5.67,-7.209999999999999,-4.720000000000001
2022-02-28,-5.76,-6.978,-4.774
2022-03-01,-8.24,-7.164,-4.96
2022-03-02,-5.84,-6.486,-5.099500000000001
2022-03-03,-6.94,-6.489999999999999,-5.3025
2022-03-04,-4.27,-6.21,-5.439500000000001
2022-03-07,-8.15,-6.688,-5.726
2022-03-08,-7.33,-6.506,-6.031000000000001
2022-03-09,-4.02,-6.142,-6.258
2022-03-10,-5.48,-5.85,-6.572
2022-03-11,-7.03,-6.401999999999999,-6.8605
2022-03-14,-8.6,-6.492,-7.0905000000000005
2022-03-15,-4.64,-5.954000000000001,-7.210000000000001
2022-03-16,-2.36,-5.622,-7.302000000000001
2022-03-17,-3.07,-5.140000000000001,-7.343000000000001
2022-03-18,-1.84,-4.102,-7.235000000000001
2022-03-21,-3.29,-3.04,-7.0985
2022-03-22,-1.68,-2.4479999999999995,-6.858499999999999
2022-03-23,-3.59,-2.694,-6.600500000000001
2022-03-24,0.72,-1.9359999999999995,-6.3555
2022-03-25,1.11,-1.3459999999999999,-6.182499999999999
2022-03-28,1.75,-0.3379999999999999,-5.965000000000001
2022-03-29,3.13,0.624,-5.63
2022-03-30,1.47,1.636,-5.4055
2022-03-31,1.24,1.7399999999999998,-5.2325
2022-04-01,0.79,1.6759999999999997,-5.0075
2022-04-04,2.01,1.7280000000000002,-4.6135
2022-04-05,-1.27,0.8480000000000001,-4.2455
2022-04-06,-3.18,-0.08200000000000003,-4.0395
2022-04-07,-3.01,-0.932,-3.79
