Date,rate_AMT,rate_AMT_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.62,0.0,0.0
2022-01-05,-3.75,0.0,0.0
2022-01-06,-3.69,0.0,0.0
2022-01-07,-3.4,-2.2920000000000003,0.0
2022-01-10,-3.78,-3.048,0.0
2022-01-11,-4.81,-3.886,0.0
2022-01-12,-5.1,-4.156000000000001,0.0
2022-01-13,-6.15,-4.648,0.0
2022-01-14,-7.42,-5.452,0.0
2022-01-18,-7.52,-6.2,0.0
2022-01-19,-7.85,-6.808,0.0
2022-01-20,-8.66,-7.519999999999999,0.0
2022-01-21,-8.97,-8.084,0.0
2022-01-24,-8.01,-8.202,0.0
2022-01-25,-7.34,-8.166,0.0
2022-01-26,-9.83,-8.562000000000001,0.0
2022-01-27,-11.77,-9.184000000000001,0.0
2022-01-28,-8.52,-9.094,0.0
2022-01-31,-7.03,-8.898,-2.8954999999999997
2022-02-01,-7.26,-8.882000000000001,-3.035
2022-02-02,-6.54,-8.224,-3.1325
2022-02-03,-7.08,-7.286,-3.284
2022-02-04,-8.48,-7.2780000000000005,-3.4120000000000004
2022-02-07,-8.54,-7.58,-3.5454999999999997
2022-02-08,-8.87,-7.901999999999999,-3.6395000000000004
2022-02-09,-7.27,-8.047999999999998,-3.6985000000000006
2022-02-10,-9.85,-8.602,-3.8505000000000003
2022-02-11,-11.81,-9.267999999999999,-4.0409999999999995
2022-02-14,-12.72,-10.104,-4.247
2022-02-15,-13.04,-10.937999999999999,-4.316
2022-02-16,-13.42,-12.168000000000001,-4.3425
2022-02-17,-14.73,-13.144,-4.427
2022-02-18,-14.81,-13.744,-4.4704999999999995
2022-02-22,-14.84,-14.168000000000001,-4.5775
2022-02-23,-15.16,-14.592000000000002,-4.714
2022-02-24,-13.63,-14.634,-4.775
2022-02-25,-12.94,-14.276,-4.720000000000001
2022-02-28,-15.37,-14.388,-4.774
2022-03-01,-14.32,-14.284,-4.96
2022-03-02,-13.46,-13.943999999999999,-5.099500000000001
2022-03-03,-11.97,-13.612,-5.3025
2022-03-04,-10.91,-13.206,-5.439500000000001
2022-03-07,-13.1,-12.751999999999999,-5.726
2022-03-08,-14.57,-12.801999999999998,-6.031000000000001
2022-03-09,-12.7,-12.65,-6.258
2022-03-10,-12.82,-12.819999999999999,-6.572
2022-03-11,-12.08,-13.053999999999998,-6.8605
2022-03-14,-12.05,-12.844,-7.0905000000000005
2022-03-15,-11.58,-12.246,-7.210000000000001
2022-03-16,-10.32,-11.77,-7.302000000000001
2022-03-17,-8.3,-10.866000000000001,-7.343000000000001
2022-03-18,-9.26,-10.302,-7.235000000000001
2022-03-21,-9.59,-9.81,-7.0985
2022-03-22,-10.31,-9.556000000000001,-6.858499999999999
2022-03-23,-12.39,-9.970000000000002,-6.600500000000001
2022-03-24,-11.84,-10.678,-6.3555
2022-03-25,-9.94,-10.814,-6.182499999999999
2022-03-28,-8.35,-10.565999999999999,-5.965000000000001
2022-03-29,-6.32,-9.767999999999999,-5.63
2022-03-30,-6.21,-8.532,-5.4055
2022-03-31,-6.08,-7.38,-5.2325
2022-04-01,-3.86,-6.164,-5.0075
2022-04-04,-3.55,-5.204,-4.6135
2022-04-05,-1.7,-4.279999999999999,-4.2455
2022-04-06,0.37,-2.9639999999999995,-4.0395
2022-04-07,-0.68,-1.8839999999999997,-3.79
2022-04-08,-0.43,-1.198,-3.496
2022-04-11,-1.56,-0.8,-3.2510000000000003
2022-04-12,-3.47,-1.154,-3.119
2022-04-13,-3.47,-1.922,-3.0345
2022-04-14,-3.98,-2.582,-3.063
2022-04-18,-4.49,-3.3939999999999997,-3.1420000000000003
2022-04-19,-2.82,-3.646,-3.1475
2022-04-20,0.19,-2.9139999999999997,-3.211
2022-04-21,-0.09,-2.238,-3.283
2022-04-22,-1.75,-1.7920000000000003,-3.5345
2022-04-25,-2.57,-1.408,-3.7855000000000003
2022-04-26,-4.25,-1.6939999999999997,-4.1985
2022-04-27,-4.95,-2.722,-4.661
2022-04-28,-5.19,-3.742,-4.9825
2022-04-29,-9.18,-5.228,-5.3955
2022-05-02,-10.33,-6.779999999999999,-5.7829999999999995
2022-05-03,-8.86,-7.702,-6.1915
2022-05-04,-7.18,-8.148,-6.410000000000001
2022-05-05,-8.69,-8.847999999999999,-6.7379999999999995
2022-05-06,-7.75,-8.562,-7.1165
2022-05-09,-12.45,-8.986,-7.6215
2022-05-10,-14.8,-10.174,-8.0355
2022-05-11,-14.81,-11.7,-8.500499999999999
2022-05-12,-14.52,-12.866,-9.021
2022-05-13,-11.87,-13.690000000000001,-9.3865
2022-05-16,-12.78,-13.756,-9.7685
2022-05-17,-11.74,-13.144,-10.139
2022-05-18,-12.62,-12.706,-10.677
2022-05-19,-11.64,-12.13,-11.1735
2022-05-20,-7.53,-11.261999999999999,-11.543000000000001
2022-05-23,-5.61,-9.828,-11.8585
2022-05-24,-2.21,-7.922,-12.075500000000002
2022-05-25,-1.55,-5.708,-12.2685
2022-05-26,-3.64,-4.108,-12.4885
2022-05-27,-1.3,-2.862,-12.435500000000001
2022-05-31,-3.1,-2.3600000000000003,-12.449
2022-06-01,-4.31,-2.78,-12.502500000000001
2022-06-02,-0.69,-2.608,-12.606
2022-06-03,0.95,-1.69,-12.624500000000001
2022-06-06,1.18,-1.1940000000000002,-12.604
2022-06-07,0.73,-0.42799999999999994,-12.4025
2022-06-08,0.1,0.454,-12.26
2022-06-09,-1.49,0.294,-12.152
2022-06-10,-4.93,-0.882,-12.1665
