Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2019-01-02,187.17,187.69,188.95,184.30,187.17,3478200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.17,0.00,0.00,0.00,False,False,187.17,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,Monthly invest,0.00,0.00,0.00,CI,0.00
2019-01-03,185.57,186.00,188.75,184.51,185.57,3614700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.17,0.00,0.00,-0.05,False,False,185.57,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,0.00,0.00,0.00,CI,0.00
2019-01-04,188.69,186.89,191.13,185.30,188.69,2936200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188.69,0.00,0.00,0.02,False,False,185.57,31000000.00,0,31000000.00,0.00,0.00,0.00,31000000,,0.00,0.00,0.00,CI,0.00
2019-01-07,186.50,188.60,189.69,186.28,186.50,2340700,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188.69,0.00,0.00,-0.01,False,False,185.57,31000000.00,0,15725650.00,15274350.00,63.00,0.00,31000000,week +buy 50% ,0.00,0.00,0.00,CI,0.00
2019-01-08,189.93,187.52,190.27,185.01,189.93,3097300,0.00,0.00,187.57,0.00,0.00,0.00,0.00,189.93,0.00,0.00,0.09,False,False,185.57,31280916.43,0,15725650.00,15555266.43,63.00,0.91,31000000,,0.00,0.00,0.00,CI,0.00
2019-01-09,190.35,191.07,191.07,187.09,190.35,4118500,0.00,0.00,188.21,0.00,0.00,0.00,0.00,190.35,0.00,0.00,0.16,False,False,185.57,31315315.49,0,15725650.00,15589665.49,63.00,1.02,31000000,,0.00,0.00,0.00,CI,0.00
2019-01-10,191.78,190.13,191.95,188.21,191.78,2646300,0.00,0.00,189.45,0.00,0.00,0.00,0.00,191.78,0.00,0.00,0.25,False,False,185.57,31432431.92,0,15725650.00,15706781.92,63.00,1.39,31000000,,0.00,0.00,0.00,CI,0.00
2019-01-11,194.66,189.86,194.83,189.55,194.66,3923700,0.00,0.00,190.64,0.00,0.00,0.00,0.00,194.66,0.00,0.00,0.38,False,False,185.57,31668304.33,0,15725650.00,15942654.33,63.00,2.16,31000000,,0.00,0.00,0.00,CI,0.00
2019-01-14,192.05,193.68,194.59,191.68,192.05,2489900,0.00,0.00,191.75,0.00,0.00,0.00,0.00,194.66,0.00,0.00,0.36,False,False,185.57,31454545.25,0,7986034.88,23468510.37,94.00,1.47,31000000,week +buy 50% ,0.00,0.00,0.00,CI,0.00
2019-01-15,196.55,192.34,197.33,191.85,196.55,2946000,0.00,0.00,193.08,0.00,0.00,0.00,0.00,196.55,0.00,0.00,0.47,False,False,185.57,32004445.25,0,7986034.88,24018410.37,94.00,3.24,31000000,,0.00,0.00,0.00,CI,0.58
2019-01-16,196.73,196.39,198.39,195.83,196.73,2911000,0.00,0.00,194.35,0.00,0.00,0.00,0.00,196.73,0.00,0.00,0.52,False,False,185.57,32026440.39,0,7986034.88,24040405.51,94.00,3.31,31000000,,0.00,0.00,0.00,CI,0.69
2019-01-17,194.50,195.41,196.72,193.09,194.50,2536700,0.00,0.00,194.90,0.00,0.00,0.00,0.00,196.73,0.00,0.00,0.44,False,False,185.57,31753934.88,0,7986034.88,23767900.00,94.00,2.43,31000000,,0.00,0.00,0.00,CI,1.07
2019-01-18,194.83,196.45,197.98,194.62,194.83,2521400,0.00,0.00,194.93,0.00,0.00,0.00,0.00,196.73,0.00,0.00,0.37,False,False,185.57,31794261.12,0,7986034.88,23808226.24,94.00,2.56,31000000,,0.00,0.00,0.00,CI,1.75
2019-01-22,193.08,193.64,195.43,192.50,193.08,3701000,0.00,0.00,195.14,0.00,0.00,0.00,0.00,196.73,0.00,0.00,0.25,False,False,185.57,31580411.12,0,7986034.88,23594376.24,94.00,1.87,31000000,,0.00,0.00,0.00,CI,1.07
2019-01-23,196.92,194.50,197.71,193.95,196.92,2241600,0.00,0.00,195.21,0.00,0.00,0.00,0.00,196.92,0.00,0.00,0.27,False,False,185.57,32049658.63,0,7986034.88,24063623.76,94.00,3.39,31000000,,66.12,0.00,0.00,CI,1.14
2019-01-24,193.07,196.39,197.43,193.04,193.07,1923200,0.00,0.00,194.48,0.00,0.00,0.00,0.00,196.92,0.00,0.00,0.14,False,False,185.57,31579189.73,0,7986034.88,23593154.86,94.00,1.87,31000000,,54.60,0.00,0.00,CI,1.19
2019-01-25,196.28,194.94,196.87,194.53,196.28,1988700,0.00,0.00,194.84,0.00,0.00,0.00,0.00,196.92,0.00,0.00,0.15,False,False,185.57,31971450.76,0,7986034.88,23985415.88,94.00,3.13,31000000,,60.74,0.00,0.00,CI,1.62
2019-01-28,195.08,195.56,195.84,193.11,195.08,1510100,0.00,0.00,194.89,0.00,0.00,0.00,0.00,196.92,0.00,0.00,0.10,False,False,185.57,31824811.12,0,4181974.84,27642836.28,109.00,2.66,31000000,week +buy 50% ,57.61,0.00,0.00,CI,1.23
2019-01-29,198.39,194.51,198.48,194.29,198.39,1575300,0.00,0.00,195.95,0.00,0.00,0.00,0.00,198.39,0.00,0.00,0.16,False,False,185.57,32293837.70,0,4181974.84,28111862.86,109.00,4.17,31000000,,63.24,0.00,0.00,CI,1.14
2019-01-30,199.80,199.25,200.28,195.27,199.80,2719500,200.96,177.37,196.52,193.10,0.00,0.00,0.00,199.80,0.00,0.00,0.23,True,False,185.57,32493635.27,0,4181974.84,28311660.43,109.00,4.82,31000000,,65.36,0.00,0.00,CI,2.22
2019-01-31,199.81,199.48,202.05,198.86,199.81,2894900,201.62,177.95,197.87,193.73,0.00,0.00,0.00,199.81,0.00,0.00,0.24,True,False,185.57,32495051.56,0,4181974.84,28313076.72,109.00,4.82,31000000,,65.37,0.00,0.00,CI,2.79
