Date,rate_MAR,rate_MAR_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,1.24,0.0,0.0
2022-01-05,0.14,0.0,0.0
2022-01-06,0.4,0.0,0.0
2022-01-07,0.83,0.522,0.0
2022-01-10,-0.56,0.41,0.0
2022-01-11,0.88,0.33799999999999997,0.0
2022-01-12,0.72,0.4539999999999999,0.0
2022-01-13,0.56,0.48599999999999993,0.0
2022-01-14,-0.22,0.27599999999999997,0.0
2022-01-18,-1.72,0.044,0.0
2022-01-19,-4.15,-0.9620000000000001,0.0
2022-01-20,-3.01,-1.7079999999999997,0.0
2022-01-21,-2.87,-2.394,0.0
2022-01-24,-3.45,-3.04,0.0
2022-01-25,-2.75,-3.246,0.0
2022-01-26,-1.84,-2.784,0.0
2022-01-27,-4.54,-3.09,0.0
2022-01-28,-1.49,-2.814,0.0
2022-01-31,-0.56,-2.236,-2.8954999999999997
2022-02-01,0.52,-1.5819999999999999,-3.035
2022-02-02,-0.68,-1.35,-3.1325
2022-02-03,-0.05,-0.45200000000000007,-3.284
2022-02-04,0.36,-0.08200000000000002,-3.4120000000000004
2022-02-07,2.2,0.47000000000000003,-3.5454999999999997
2022-02-08,5.42,1.45,-3.6395000000000004
2022-02-09,6.58,2.902,-3.6985000000000006
2022-02-10,7.25,4.362,-3.8505000000000003
2022-02-11,4.44,5.178,-4.0409999999999995
2022-02-14,5.29,5.795999999999999,-4.247
2022-02-15,11.19,6.95,-4.316
2022-02-16,12.42,8.118,-4.3425
2022-02-17,9.38,8.544,-4.427
2022-02-18,7.44,9.144,-4.4704999999999995
2022-02-22,6.36,9.358,-4.5775
2022-02-23,3.29,7.7780000000000005,-4.714
2022-02-24,3.75,6.044,-4.775
2022-02-25,7.11,5.590000000000001,-4.720000000000001
2022-02-28,4.58,5.018,-4.774
2022-03-01,1.37,4.0200000000000005,-4.96
2022-03-02,3.32,4.026000000000001,-5.099500000000001
2022-03-03,1.7,3.6160000000000005,-5.3025
2022-03-04,-1.93,1.8079999999999998,-5.439500000000001
2022-03-07,-8.52,-0.812,-5.726
2022-03-08,-5.69,-2.224,-6.031000000000001
2022-03-09,-1.69,-3.2260000000000004,-6.258
2022-03-10,0.16,-3.5340000000000003,-6.572
2022-03-11,-0.39,-3.2260000000000004,-6.8605
2022-03-14,-0.31,-1.584,-7.0905000000000005
2022-03-15,2.5,0.053999999999999826,-7.210000000000001
2022-03-16,6.07,1.6059999999999999,-7.302000000000001
2022-03-17,5.44,2.662,-7.343000000000001
2022-03-18,5.41,3.822,-7.235000000000001
2022-03-21,4.65,4.814,-7.0985
2022-03-22,5.03,5.32,-6.858499999999999
2022-03-23,3.25,4.756,-6.600500000000001
2022-03-24,5.89,4.846,-6.3555
2022-03-25,5.61,4.886,-6.182499999999999
2022-03-28,5.64,5.084,-5.965000000000001
2022-03-29,9.77,6.031999999999999,-5.63
2022-03-30,8.62,7.105999999999999,-5.4055
2022-03-31,8.2,7.568,-5.2325
2022-04-01,6.73,7.791999999999999,-5.0075
2022-04-04,7.3,8.123999999999999,-4.6135
2022-04-05,6.91,7.552,-4.2455
2022-04-06,2.21,6.27,-4.0395
2022-04-07,1.31,4.8919999999999995,-3.79
2022-04-08,0.83,3.7119999999999997,-3.496
2022-04-11,-0.02,2.2479999999999993,-3.2510000000000003
2022-04-12,0.46,0.9579999999999996,-3.119
2022-04-13,7.89,2.094,-3.0345
2022-04-14,10.89,4.01,-3.063
2022-04-18,12.48,6.340000000000001,-3.1420000000000003
2022-04-19,15.91,9.526,-3.1475
2022-04-20,16.83,12.8,-3.211
2022-04-21,13.1,13.841999999999999,-3.283
2022-04-22,10.26,13.716,-3.5345
2022-04-25,12.08,13.636,-3.7855000000000003
2022-04-26,8.9,12.234,-4.1985
2022-04-27,10.69,11.006,-4.661
2022-04-28,13.34,11.053999999999998,-4.9825
2022-04-29,9.06,10.814,-5.3955
2022-05-02,9.17,10.232000000000001,-5.7829999999999995
2022-05-03,6.12,9.676,-6.1915
2022-05-04,11.02,9.741999999999999,-6.410000000000001
2022-05-05,8.88,8.85,-6.7379999999999995
2022-05-06,5.81,8.2,-7.1165
2022-05-09,0.62,6.489999999999999,-7.6215
2022-05-10,3.19,5.904,-8.0355
2022-05-11,2.51,4.202,-8.500499999999999
2022-05-12,0.32,2.4899999999999998,-9.021
2022-05-13,2.17,1.7619999999999998,-9.3865
2022-05-16,-0.3,1.578,-9.7685
2022-05-17,1.24,1.188,-10.139
2022-05-18,-5.36,-0.38600000000000023,-10.677
2022-05-19,-3.58,-1.1660000000000001,-11.1735
2022-05-20,-4.62,-2.524,-11.543000000000001
2022-05-23,-2.96,-3.056,-11.8585
2022-05-24,-6.2,-4.544,-12.075500000000002
2022-05-25,-1.99,-3.87,-12.2685
2022-05-26,4.48,-2.258,-12.4885
