Date,rate_PLTR,rate_PLTR_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,-0.97,0.0,0.0
2022-01-05,-4.23,0.0,0.0
2022-01-06,-4.83,0.0,0.0
2022-01-07,-5.31,-3.068,0.0
2022-01-10,-5.47,-4.162,0.0
2022-01-11,-3.83,-4.734,0.0
2022-01-12,-4.55,-4.798,0.0
2022-01-13,-7.54,-5.34,0.0
2022-01-14,-7.54,-5.786,0.0
2022-01-18,-11.92,-7.0760000000000005,0.0
2022-01-19,-13.64,-9.038,0.0
2022-01-20,-13.39,-10.806000000000001,0.0
2022-01-21,-17.98,-12.894,0.0
2022-01-24,-18.53,-15.092000000000002,0.0
2022-01-25,-20.27,-16.762,0.0
2022-01-26,-21.87,-18.408,0.0
2022-01-27,-24.28,-20.586000000000002,0.0
2022-01-28,-22.07,-21.404000000000003,0.0
2022-01-31,-16.93,-21.084,-2.8954999999999997
2022-02-01,-13.75,-19.78,-3.035
2022-02-02,-18.52,-19.11,-3.1325
2022-02-03,-23.24,-18.901999999999997,-3.284
2022-02-04,-20.58,-18.604000000000003,-3.4120000000000004
2022-02-07,-20.36,-19.29,-3.5454999999999997
2022-02-08,-19.38,-20.416,-3.6395000000000004
2022-02-09,-15.22,-19.756,-3.6985000000000006
2022-02-10,-17.01,-18.509999999999998,-3.8505000000000003
2022-02-11,-19.5,-18.294,-4.0409999999999995
2022-02-14,-18.74,-17.97,-4.247
2022-02-15,-13.33,-16.759999999999998,-4.316
2022-02-16,-14.52,-16.619999999999997,-4.3425
2022-02-17,-27.61,-18.740000000000002,-4.427
2022-02-18,-32.08,-21.255999999999997,-4.4704999999999995
2022-02-22,-35.29,-24.565999999999995,-4.5775
2022-02-23,-35.59,-29.018,-4.714
2022-02-24,-27.26,-31.565999999999995,-4.775
2022-02-25,-29.4,-31.924,-4.720000000000001
2022-02-28,-27.14,-30.936,-4.774
2022-03-01,-24.38,-28.754,-4.96
2022-03-02,-25.08,-26.651999999999997,-5.099500000000001
2022-03-03,-29.31,-27.062,-5.3025
2022-03-04,-31.53,-27.488,-5.439500000000001
2022-03-07,-30.65,-28.189999999999998,-5.726
2022-03-08,-31.08,-29.53,-6.031000000000001
2022-03-09,-27.39,-29.992,-6.258
2022-03-10,-26.06,-29.341999999999995,-6.572
2022-03-11,-28.96,-28.827999999999996,-6.8605
2022-03-14,-34.35,-29.568,-7.0905000000000005
2022-03-15,-32.69,-29.889999999999997,-7.210000000000001
2022-03-16,-26.41,-29.694,-7.302000000000001
2022-03-17,-23.15,-29.112000000000002,-7.343000000000001
2022-03-18,-20.08,-27.335999999999995,-7.235000000000001
2022-03-21,-21.49,-24.764,-7.0985
2022-03-22,-17.28,-21.682,-6.858499999999999
2022-03-23,-17.84,-19.968,-6.600500000000001
2022-03-24,-16.54,-18.645999999999997,-6.3555
2022-03-25,-19.14,-18.458,-6.182499999999999
