Date,rate_HCA_5D,rate_VOO_20D,Divergence,Relative_Divergence
2019-01-02,0.0,0.0,0.0,29.4
2019-03-01,2.89,4.45,-1.56,28.1
2019-04-29,-2.62,7.58,-10.2,20.91
2019-06-25,3.73,7.2,-3.47,26.51
2019-08-21,-3.81,7.24,-11.05,20.21
2019-10-17,-4.32,8.87,-13.19,18.43
2019-12-13,8.72,13.19,-4.47,25.68
2020-02-12,13.72,18.03,-4.31,25.81
2020-04-09,-13.9,3.89,-17.79,14.6
2020-06-08,-7.41,14.68,-22.09,11.03
2020-08-04,-0.69,16.26,-16.95,15.3
2020-09-30,-3.1,17.41,-20.51,12.34
2020-11-25,15.71,24.05,-8.34,22.46
2021-01-26,22.54,29.15,-6.61,23.9
2021-03-24,35.84,30.35,5.49,33.96
2021-05-20,49.9,36.67,13.23,40.4
2021-07-19,57.32,38.99,18.33,44.64
2021-09-14,81.4,43.6,37.8,60.83
2021-11-09,75.85,49.14,26.71,51.61
2022-01-06,81.29,49.24,32.05,56.05
2022-03-07,84.74,37.68,47.06,68.53
2022-05-03,56.46,36.93,19.53,45.64
2022-06-30,25.1,27.61,-2.51,27.31
2022-08-26,49.1,34.27,14.83,41.73
2022-10-24,52.59,27.92,24.67,49.91
2022-12-20,70.79,28.33,42.46,64.71
2023-02-17,86.71,34.71,52.0,72.64
2023-04-18,92.3,36.36,55.94,75.92
2023-06-14,100.59,41.83,58.76,78.26
2023-08-11,91.09,43.86,47.23,68.67
2023-10-09,77.68,40.69,36.99,60.16
2023-12-05,79.99,46.52,33.47,57.23
2024-02-02,116.98,55.53,61.45,80.5
2024-04-02,129.94,61.42,68.52,86.38
2024-05-29,127.19,63.18,64.01,82.63
2024-07-26,146.47,67.5,78.97,95.07
