Date,rate_KO,rate_KO_5D,rate_VOO_20D
2022-01-03,0.0,0.0,0.0
2022-01-04,0.83,0.0,0.0
2022-01-05,1.26,0.0,0.0
2022-01-06,0.99,0.0,0.0
2022-01-07,0.87,0.79,0.0
2022-01-10,0.95,0.9800000000000001,0.0
2022-01-11,0.98,1.01,0.0
2022-01-12,1.09,0.9760000000000002,0.0
2022-01-13,1.54,1.0859999999999999,0.0
2022-01-14,2.16,1.344,0.0
2022-01-18,1.54,1.4620000000000002,0.0
2022-01-19,1.67,1.6,0.0
2022-01-20,1.35,1.6520000000000004,0.0
2022-01-21,0.98,1.5400000000000003,0.0
2022-01-24,0.36,1.1800000000000002,0.0
2022-01-25,0.16,0.9040000000000001,0.0
2022-01-26,-0.16,0.538,0.0
2022-01-27,-0.09,0.2500000000000001,0.0
2022-01-28,1.65,0.38400000000000006,0.0
2022-01-31,1.9,0.6920000000000001,-2.8954999999999997
2022-02-01,1.16,0.892,-3.035
2022-02-02,2.1,1.344,-3.1325
2022-02-03,2.75,1.9120000000000001,-3.284
2022-02-04,1.76,1.934,-3.4120000000000004
2022-02-07,2.73,2.1,-3.5454999999999997
2022-02-08,3.37,2.5420000000000003,-3.6395000000000004
2022-02-09,1.85,2.492,-3.6985000000000006
2022-02-10,2.39,2.4200000000000004,-3.8505000000000003
2022-02-11,0.65,2.1980000000000004,-4.0409999999999995
2022-02-14,1.27,1.9060000000000001,-4.247
2022-02-15,1.65,1.562,-4.316
2022-02-16,1.63,1.5180000000000002,-4.3425
2022-02-17,3.61,1.762,-4.427
2022-02-18,4.3,2.492,-4.4704999999999995
2022-02-22,3.87,3.012,-4.5775
2022-02-23,2.75,3.232,-4.714
2022-02-24,1.0,3.1060000000000003,-4.775
2022-02-25,4.8,3.3440000000000003,-4.720000000000001
2022-02-28,3.81,3.246,-4.774
2022-03-01,3.26,3.1239999999999997,-4.96
2022-03-02,4.0,3.374,-5.099500000000001
2022-03-03,4.06,3.9859999999999998,-5.3025
